scenario,method,analysis,mean_gamma_star,median_gamma_star,pct_gamma_star_le_1_5,valid_runs,extra_info
A,PSM,Rosenbaum,1.0086,1.0,100.0,500,
A,PSM-DID,Rosenbaum,1.0116,1.0,100.0,500,
A,PSM-Caliper,Caliper,,,0.0,500,avg_unmatched=0.4
A,PSM-DID-Caliper,Caliper,,,,500,
B,PSM,Rosenbaum,1.0156,1.0,99.8,500,
B,PSM-DID,Rosenbaum,1.0146000000000002,1.0,100.0,500,
B,PSM-Caliper,Caliper,,,0.0,500,avg_unmatched=0.8
B,PSM-DID-Caliper,Caliper,,,,500,
C,PSM,Rosenbaum,2.0796780684104634,2.100000000000001,0.8048289738430584,497,
C,PSM-DID,Rosenbaum,2.184253578732107,2.200000000000001,0.408997955010225,489,
C,PSM-Caliper,Caliper,,,0.0,500,avg_unmatched=0.5
C,PSM-DID-Caliper,Caliper,,,,500,
D,PSM,Rosenbaum,1.0146,1.0,99.8,500,
D,PSM-DID,Rosenbaum,1.0111999999999999,1.0,100.0,500,
D,PSM-Caliper,Caliper,,,0.0,500,avg_unmatched=0.7
D,PSM-DID-Caliper,Caliper,,,,500,
