scenario,method,estimand,true_effect_target_mean,mean_estimate,bias,rmse,std,valid_runs,failure_runs
A,DID,ATT,50.0,49.99876297779685,-0.0012370222031440506,0.5437004733901162,0.5442435821340419,500,0
A,DID-X,ATT,50.0,49.999135623724044,-0.0008643762759455313,0.5444126917095704,0.5449572355012489,500,0
A,PSM,ATT,50.0,49.98865438170687,-0.011345618293123366,1.5268871595044837,1.5283741459030729,500,0
A,PSM-DID,ATT,50.0,49.99610943998647,-0.003890560013536046,0.7772317640449563,0.7780004163745503,500,0
B,DID,ATT,50.0,58.50672726080343,8.506727260803437,8.566311049303907,1.0096112784616875,500,0
B,DID-X,ATT,50.0,50.02132697479204,0.021326974792041212,0.624001981211715,0.624261995303194,500,0
B,PSM,ATT,50.0,50.06785783874287,0.06785783874286548,1.725490911521935,1.7258828299021483,500,0
B,PSM-DID,ATT,50.0,49.99809224939959,-0.0019077506004087042,0.8769122855526785,0.8777884381359322,500,0
C,DID,ATT,50.0,58.4885803349482,8.488580334948201,8.54634006429961,0.9929270870429988,500,0
C,DID-X,ATT,50.0,58.52923191525502,8.529231915255021,8.58712770794931,0.9964693224817448,500,0
C,PSM,ATT,50.0,64.79702531058854,14.797025310588534,14.974401290551645,2.3002866355061116,500,0
C,PSM-DID,ATT,50.0,58.576100279029745,8.576100279029742,8.678807229483384,1.3325728615808803,500,0
D,DID,ATT,53.504277243285195,62.117724342370565,8.613447099085374,8.66657300157102,1.2535990780904414,500,0
D,DID-X,ATT,53.504277243285195,52.456196351331016,-1.0480808919541726,1.2065157814315617,0.6780712504951757,500,0
D,PSM,ATT,53.401546966763796,53.41731133746119,0.015764370697403052,1.7192832205772974,1.7608339599955458,500,0
D,PSM-DID,ATT,53.401546966763796,53.43118525426963,0.02963828750583565,0.8555682082149452,0.9438710935008024,500,0
